text,label
"Scientists publish a peer reviewed study after conducting experiments at a university research laboratory.","REAL"
"The national weather service issued a warning for heavy rainfall in several districts during the coming week.","REAL"
"The university announced the dates for its upcoming semester examinations on its official website.","REAL"
"The transport department introduced updated safety guidelines for public buses and commercial vehicles.","REAL"
"The company released its quarterly financial results through an official regulatory filing.","REAL"
"Researchers reported their findings in a scientific journal after completing a controlled study.","REAL"
"The health department released updated information about seasonal illnesses and recommended preventive measures.","REAL"
"Officials announced that a technology conference will be held next month at the convention centre.","REAL"
"The education department announced additional funding for public schools in the new academic year.","REAL"
"The central bank published its latest monetary policy statement following its scheduled meeting.","REAL"
"Scientists discovered a previously unknown species during a research expedition in a remote forest.","REAL"
"Local authorities opened a new public library after completing construction work earlier this year.","REAL"
"The airport authority announced changes to security procedures for passengers travelling on domestic flights.","REAL"
"The government department released a public notice explaining changes to the online application process.","REAL"
"The university research team presented its findings at an international academic conference.","REAL"
"Health officials advised residents to follow basic hygiene measures during the seasonal flu period.","REAL"
"The city administration announced a new road maintenance programme for several major routes.","REAL"
"The company announced that its new software product would be available to customers later this year.","REAL"
"The national examination board published an official notice regarding the upcoming entrance examination.","REAL"
"Researchers found that regular physical activity is associated with several health benefits in their study.","REAL"
"Scientists say a secret fruit can make humans immune to every disease after eating just one piece.","FAKE"
"A viral message claims that drinking a homemade mixture can instantly increase a person's intelligence by fifty percent.","FAKE"
"An anonymous website claims that sleeping for only ten minutes a day is better than getting normal sleep.","FAKE"
"A social media post says that all university examinations have been permanently cancelled without any official announcement.","FAKE"
"A mysterious machine reportedly produces unlimited electricity without using fuel, batteries or any external energy source.","FAKE"
"A viral post claims that eating chocolate every day completely replaces the need for physical exercise.","FAKE"
"Internet users claim that placing a mobile phone under moonlight will fully charge its battery overnight.","FAKE"
"An unverified article claims that scientists created a pill that guarantees perfect memory for the rest of a person's life.","FAKE"
"A website claims that a common household object can accurately predict the exact date a person will die.","FAKE"
"A viral message says every computer in the world will permanently stop working on the first day of next month.","FAKE"
"An anonymous account claims that drinking cold water immediately makes a person lose ten kilograms in one week.","FAKE"
"A social media post claims that humans no longer need sleep after taking a newly discovered herbal drink.","FAKE"
"A viral article claims that a secret government device can control the weather anywhere in the world.","FAKE"
"An unverified post says that placing a magnet beside a phone will double its internet speed instantly.","FAKE"
"A website claims that scientists have discovered a food that allows people to survive without drinking water.","FAKE"
"An online message claims that a certain household plant can remove every virus from a room within five minutes.","FAKE"
"A viral message says that all bank accounts will automatically receive unlimited money after a secret software update.","FAKE"
"An anonymous source claims that researchers developed a camera capable of seeing events that happened hundreds of years ago.","FAKE"
"A social media page claims that listening to one specific song permanently increases human IQ.","FAKE"
"A website claims that a newly invented device can make any ordinary metal become pure gold in seconds.","FAKE"
"Researchers at a university published a report after analysing several years of survey data.","REAL"
"The public health agency announced a campaign encouraging residents to receive routine vaccinations.","REAL"
"The technology company opened a new research centre focused on artificial intelligence and software development.","REAL"
"The city council approved funding for repairs to several older public buildings.","REAL"
"The examination authority reminded students to carry valid identification documents to the examination centre.","REAL"
"The agriculture department released a report about rainfall patterns and crop production during the previous season.","REAL"
"The national museum announced a temporary exhibition featuring historical photographs and documents.","REAL"
"The software company released a security update designed to address vulnerabilities identified by its engineers.","REAL"
"The university announced scholarships for eligible students through its official student portal.","REAL"
"The research team collected samples from several locations before beginning laboratory analysis.","REAL"
"The railway authority announced additional services during the holiday travel period.","REAL"
"The finance department published an annual report describing government expenditure and revenue.","REAL"
"The hospital opened a new diagnostic facility equipped with updated medical imaging technology.","REAL"
"The communications regulator published recommendations concerning online safety and digital services.","REAL"
"The local administration announced a programme to improve waste collection across residential areas.","REAL"
"The company said it plans to hire additional engineers as part of its expansion programme.","REAL"
"The scientific conference included presentations from researchers working in universities and research institutes.","REAL"
"The public transport authority introduced a new digital ticketing option for commuters.","REAL"
"The school administration announced a revised timetable for the next academic term.","REAL"
"The environment agency released a report measuring air quality across several urban locations.","REAL"
"Scientists claim that a new type of tea allows people to understand every language after drinking it once.","FAKE"
"A viral message says that turning off a phone for exactly seven seconds permanently increases its battery capacity.","FAKE"
"An anonymous post claims that scientists found a way to grow a complete human organ overnight at home.","FAKE"
"A website claims that looking directly at a particular star for five minutes gives people perfect eyesight.","FAKE"
"A social media post claims that ordinary tap water contains a hidden chemical that makes people forget recent events.","FAKE"
"An unverified article says that a simple breathing technique can replace food and water for several months.","FAKE"
"A viral message claims that putting a laptop in a refrigerator makes its processor twice as fast.","FAKE"
"An anonymous website claims that researchers invented shoes that allow people to walk through solid walls.","FAKE"
"A social media post says that a specific fruit can make people permanently resistant to extreme temperatures.","FAKE"
"A viral article claims that scientists have created a machine that can read every person's thoughts from anywhere.","FAKE"
